Team,Qualification
Czechoslovakia,Direct
Mexico,Direct
Switzerland,Direct
Canada,Direct
Brazil,Direct
Morocco,Direct
Australia,Direct
United States,Direct
Germany,Direct
Ecuador,Direct
Japan,Direct
Netherlands,Direct
Belgium,Direct
Iran,Direct
Spain,Direct
Uruguay,Direct
France,Direct
Senegal,Direct
Argentina,Direct
Austria,Direct
Portugal,Direct
Colombia,Direct
England,Direct
Croatia,Direct
Scotland,Best third place
Sweden,Best third place
South Korea,Best third place
Turkey,Best third place
Ivory Coast,Best third place
Algeria,Best third place
Uzbekistan,Best third place
Saudi Arabia,Best third place
