date,semester,rank,team,acronym,total.points,previous.points,diff.points
2024,2,1,Argentina,ARG,1867.25,1883.5,-16.25
2024,2,2,France,FRA,1859.78,1859.85,-0.0699999999999363
2024,2,3,Spain,ESP,1853.27,1844.33,8.94000000000005
2024,2,4,England,ENG,1813.81,1807.83,5.98000000000002
2024,2,5,Brazil,BRA,1775.85,1784.37,-8.51999999999998
2024,2,6,Portugal,POR,1756.12,1752.68,3.43999999999983
2024,2,7,Netherlands,NED,1747.55,1748.24,-0.690000000000055
2024,2,8,Belgium,BEL,1740.62,1761.27,-20.6500000000001
2024,2,9,Italy,ITA,1731.51,1729.4,2.1099999999999
2024,2,10,Germany,GER,1703.79,1703.59,0.200000000000045
